id,name,img,bio
1,Miles Davis,https://res.cloudinary.com/rjsmedia/image/upload/v1640641047/SONG%20ART/Miles_Davis_ozgbz6.png,"Miles Davis (1926-1991) was a jazz trumpeter, bandleader, and composer. He was one of the most influential figures in the history of jazz, and he had a prolific output (just on Spotify, he has over 1,000 songs). Many of these are different recordings of the same song, but jazz is so improvisational that it’s difficult to draw the line of what counts as a distinct song."
5,Black Sabbath,https://res.cloudinary.com/rjsmedia/image/upload/v1640641046/SONG%20ART/BLACK_SABBATH_x9yimf.png,"Black Sabbath were an English rock band formed in Birmingham in 1968 by guitarist Tony Iommi, drummer Bill Ward, bassist Geezer Butler and vocalist Ozzy Osbourne. They are often cited as pioneers of heavy metal music."
6,Pink Floyd,https://res.cloudinary.com/rjsmedia/image/upload/v1640641046/SONG%20ART/PINK_FLOYD_wj6htb.png,"Pink Floyd were an English rock band formed in London in 1964. Gaining an early following as one of the first British psychedelic groups, they were distinguished for their extended compositions, sonic experimentation, philosophical lyrics and elaborate live shows."
8,Yaz,https://res.cloudinary.com/rjsmedia/image/upload/v1640641046/SONG%20ART/YAZ_zuzw7d.png,"Yazoo were an English synth-pop duo from Basildon, Essex, consisting of former Depeche Mode member Vince Clarke (keyboards) and Alison Moyet (vocals)."
9,The Bee Gees,https://res.cloudinary.com/rjsmedia/image/upload/v1640641111/SONG%20ART/BEE_GEES_buimxl.png,"The Bee Gees were a music group formed in 1958, featuring brothers Barry, Robin and Maurice Gibb. The trio were especially successful as a popular music act in the late 1960s and early 1970s, and later as prominent performers of the disco music era in the mid- to late 1970s."
11,Willie Nelson,https://res.cloudinary.com/rjsmedia/image/upload/v1640641046/SONG%20ART/Willie_NELSON_fia3eu.png,"Willie Hugh Nelson is an American musician, actor, and activist. The critical success of the album Shotgun Willie, combined with the critical and commercial success of Red Headed Stranger and Stardust, made Nelson one of the most recognized artists in country music."
12,Metallica,https://res.cloudinary.com/rjsmedia/image/upload/v1640641046/SONG%20ART/Metallica_jekp9p.png,"Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career."
13,Getz / Gilberto,https://res.cloudinary.com/rjsmedia/image/upload/v1640641046/SONG%20ART/GETZ_GILBERTO_bosfg4.png,"Getz/Gilberto is an album by American saxophonist Stan Getz and Brazilian guitarist João Gilberto, featuring pianist and composer Antônio Carlos Jobim, who also composed many of the tracks. It was released in March 1964 by Verve Records."
14,Cocteau Twins,https://res.cloudinary.com/rjsmedia/image/upload/v1640912353/SONG%20ART/CT_BAND_zrzr5d.jpg,"Cocteau Twins were a Scottish band active from 1979 to 1997. They were formed in Grangemouth by Robin Guthrie (guitars, drum machine) and Will Heggie (bass), adding Elizabeth Fraser (vocals) in 1981 and replacing Heggie with multi-instrumentalist Simon Raymonde in 1983. The group earned critical praise for their ethereal, effects-laden sound and the soprano vocals of Fraser, whose lyrics often abandon recognisable language."
15,Ween,https://res.cloudinary.com/rjsmedia/image/upload/v1640912356/SONG%20ART/WEEN_PHOTO_cucczc.jpg,"Ween is an American rock band from New Hope, Pennsylvania, formed in 1984 by Aaron Freeman and Mickey Melchiondo, better known by their respective stage names, Gene and Dean Ween. Generally categorized as an alternative rock band, the band are known for their highly eclectic catalog of songs inspired by funk, soul, country, gospel, prog, psychedelia, R&B, heavy metal, punk rock, and countless more."
